case_id,language_type,audio_duration_seconds,inference_seconds,rtf,is_warmup_sample,device,compute_type
T22,國語,,,,,,
T23,台語,,,,,,
T24,國台混合,,,,,,
T25,國語,,,,,,
T26,台語,,,,,,
T27,國語,,,,,,
T28,台語,,,,,,
T29,國台混合,,,,,,
T30,中英混合,,,,,,
T31,國語,,,,,,
T32,台語,,,,,,
T33,客語（四縣）,,,,,,
T34,國台混合,,,,,,
T35,國語,,,,,,
T36,中英混合,,,,,,
T37,台語,,,,,,
T38,國語,,,,,,
T39,客語（四縣）,,,,,,
T40,國台混合,,,,,,
T41,台語,,,,,,
T42,國語,,,,,,
T43,中英混合,,,,,,
T44,客語（四縣）,,,,,,
T45,國台混合,,,,,,
T46,台語,,,,,,
T47,國語,,,,,,
T48,中英混合,,,,,,
T49,客語（四縣）,,,,,,
T50,國台混合,,,,,,
