case_id,language_type,audio_duration_seconds,inference_seconds,rtf,is_warmup_sample,device,compute_type
T22,國語,5.44,1.1791,0.2168,True,cuda,float16
T23,台語,4.9707,0.6927,0.1394,False,cuda,float16
T24,國台混合,5.7387,0.7119,0.1241,False,cuda,float16
T25,國語,5.696,0.6434,0.113,False,cuda,float16
T26,台語,6.1867,0.7137,0.1154,False,cuda,float16
T27,國語,6.1227,0.7624,0.1245,False,cuda,float16
T28,台語,4.9707,0.6768,0.1362,False,cuda,float16
T29,國台混合,5.9734,0.7541,0.1262,False,cuda,float16
T30,中英混合,5.8454,0.66,0.1129,False,cuda,float16
T31,國語,5.0347,0.5768,0.1146,False,cuda,float16
T32,台語,5.0347,0.632,0.1255,False,cuda,float16
T33,客語（四縣）,9.152,0.6052,0.0661,False,cuda,float16
T34,國台混合,5.4614,0.7188,0.1316,False,cuda,float16
T35,國語,5.504,0.6342,0.1152,False,cuda,float16
T36,中英混合,4.992,0.595,0.1192,False,cuda,float16
T37,台語,5.0347,0.6266,0.1245,False,cuda,float16
T38,國語,4.544,0.5845,0.1286,False,cuda,float16
T39,客語（四縣）,8.512,0.603,0.0708,False,cuda,float16
T40,國台混合,6.4,0.6658,0.104,False,cuda,float16
T41,台語,5.6747,0.7353,0.1296,False,cuda,float16
T42,國語,5.2267,0.5662,0.1083,False,cuda,float16
T43,中英混合,5.824,0.6336,0.1088,False,cuda,float16
T44,客語（四縣）,9.728,0.6451,0.0663,False,cuda,float16
T45,國台混合,6.6774,0.6798,0.1018,False,cuda,float16
T46,台語,5.888,0.7098,0.1205,False,cuda,float16
T47,國語,4.9067,0.6021,0.1227,False,cuda,float16
T48,中英混合,5.0134,0.5895,0.1176,False,cuda,float16
T49,客語（四縣）,8.576,0.66,0.077,False,cuda,float16
T50,國台混合,4.1174,0.4941,0.12,False,cuda,float16
